title,texto_lemmatizado
Never Talk to Strangers,"['[', ""'Thriller"", ""'"", ',', ""'Romance"", ""'"", ']', 'Sarah', 'Taylor', ',', 'police', 'psychologist', ',', 'meet', 'mysterious', 'seductive', 'young', 'man', ',', 'Tony', 'Ramirez', ',', 'fall', 'love', '.', 'cause', 'relationship', ',', 'change', 'personality', 'begin', 'receive', 'anonymous', 'telephone', 'call', '.']"
Heaven Can Wait,"['[', ""'Fantasy"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Romance"", ""'"", ']', 'Joe', 'Pendleton', 'quarterback', 'preparing', 'lead', 'team', 'superbowl', 'almost', 'killed', 'accident', '.', 'overanxious', 'angel', 'pluck', 'heaven', 'discover', ""n't"", 'ready', 'die', ',', 'body', 'cremated', '.', 'new', 'body', 'must', 'found', ',', 'recently', 'murdered', 'millionaire', 'chosen', '.', 'wife', 'accountant', ',', 'murderer', ',', 'confused', 'development', ',', 'buy', 'L.A.', 'Rams', 'order', 'quarterback', 'Superbowl', '.']"
The Raven,"['[', ""'Comedy"", ""'"", ',', ""'Fantasy"", ""'"", ',', ""'Horror"", ""'"", ']', 'magician', 'turned', 'raven', 'turn', 'former', 'sorcerer', 'help', 'film', 'loosely', 'based', 'Edgar', 'Allen', 'Poe', 'poem', '.']"
The Tingler,"['[', ""'Horror"", ""'"", ']', 'much', 'hard', 'work', ',', 'pathologist', 'discovers', 'capture', 'creature', 'life', 'every', 'vertebrate', 'grows', 'fear', 'grip', 'host', '.', '``', 'Scream', 'life', '!', ""''""]"
The Pit and the Pendulum,"['[', ""'Fantasy"", ""'"", ',', ""'Horror"", ""'"", ',', ""'Drama"", ""'"", ']', 'Francis', 'Barnard', 'go', 'Spain', ',', 'hears', 'sister', 'Elizabeth', 'died', '.', 'husband', 'Nicholas', 'Medina', ',', 'son', 'brutal', 'torturer', 'Spanish', 'Inquisition', ',', 'tell', 'died', 'blood', 'disease', ',', 'Francis', 'find', 'hard', 'believe', '.', 'investigating', 'find', 'extreme', 'fear', 'fatal', 'sister', 'may', 'buried', 'alive', '!']"
The Tomb of Ligeia,"['[', ""'Horror"", ""'"", ',', ""'Drama"", ""'"", ']', 'Story', 'man', 'haunted', 'spirit', 'dead', 'wife', 'effect', 'second', 'marriage', '.']"
The Masque of the Red Death,"['[', ""'Drama"", ""'"", ',', ""'Horror"", ""'"", ']', 'Satan-worshiper', 'Prince', 'Prospero', 'invite', 'local', 'nobility', 'castle', 'protection', 'oncoming', 'plague', ',', 'Red', 'Death', '.', 'order', 'guest', 'attend', 'masked', 'ball', ',', 'amidst', 'atmosphere', 'debauchery', 'depravity', ',', 'notice', 'entry', 'hooded', 'stranger', 'dressed', 'red', '.', 'Believing', 'figure', 'master', ',', 'Satan', ',', 'Prospero', 'horrified', 'revelation', 'true', 'identity', '.']"
Tales of Terror,"['[', ""'Thriller"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Horror"", ""'"", ',', ""'Mystery"", ""'"", ']', 'Three', 'story', 'adapted', 'work', 'Edgar', 'Allen', 'Poe', ':', '1', ')', 'man', 'daughter', 'reunited', ',', 'blame', 'death', 'wife', 'hang', ',', 'unresolved', '.', '2', ')', 'derelict', 'challenge', 'local', 'wine-tasting', 'champion', 'competition', ',', 'find', 'man', ""'s"", 'attention', 'wife', 'worthy', 'dramatic', 'action', '.', '3', ')', 'man', 'dying', 'great', 'pain', 'agrees', 'hypnotized', 'moment', 'death', ',', 'unexpected', 'consequence', '.']"
Haunted Honeymoon,"['[', ""'Comedy"", ""'"", ',', ""'Horror"", ""'"", ',', ""'Music"", ""'"", ']', 'Larry', 'Abbot', ',', 'speaker', 'radio', 'horror', 'show', 'Manhattan', 'Mystery', 'Theater', 'want', 'marry', '.', 'marriage', 'take', 'fiancée', 'home', 'castle', 'grew', 'among', 'eccentric', 'relative', '.', 'uncle', 'decides', 'need', 'cured', 'neurotic', 'speech', 'defect', 'exaggerated', 'burst', 'fear', ':', 'give', 'shock', 'therapy', 'palace', 'ghost', '.']"
Cat's Eye,"['[', ""'Comedy"", ""'"", ',', ""'Thriller"", ""'"", ',', ""'Horror"", ""'"", ']', 'Three', 'short', 'story', 'shock-meister', 'Stephen', 'King', 'linked', 'stray', 'cat', 'roams', 'one', 'tale', 'next', 'creepy', 'triptych', 'begin', 'Dick', '(', 'James', 'Woods', ')', 'try', 'quit', 'smoking', 'mean', 'necessary', '.', 'Next', ',', 'meet', 'Johnny', ',', 'adulterous', 'man', ""'s"", 'forced', 'lover', ""'s"", 'husband', 'onto', 'building', ""'s"", 'hazardous', 'ledge', '.', 'Finally', ',', 'Amanda', 'threatened', 'evil', 'gnome', 'throw', 'suspicion', 'family', 'cat', '.']"
And Now for Something Completely Different,"['[', ""'Comedy"", ""'"", ']', 'Something', 'Completely', 'Different', 'film', 'spin-off', 'television', 'comedy', 'series', 'Monty', 'Python', ""'s"", 'Flying', 'Circus', 'featuring', 'favourite', 'sketch', 'first', 'two', 'season', '.']"
Damien: Omen II,"['[', ""'Action"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Horror"", ""'"", ',', ""'Thriller"", ""'"", ']', 'Since', 'sudden', 'highly', 'suspicious', 'death', 'parent', ',', '12-year-old', 'Damien', 'charge', 'wealthy', 'aunt', 'uncle', '(', 'Lee', 'Grant', 'William', 'Holden', ')', '.', 'Widely', 'feared', 'Antichrist', ',', 'Damien', 'relentlessly', 'plot', 'seize', 'control', 'uncle', ""'s"", 'business', 'empire', '-', 'world', '.', 'Meanwhile', ',', 'anyone', 'attempting', 'unravel', 'secret', 'Damien', ""'s"", 'sinister', 'past', 'fiendish', 'future', 'meet', 'swift', 'cruel', 'demise', '.']"
Omen III: The Final Conflict,"['[', ""'Drama"", ""'"", ',', ""'Horror"", ""'"", ',', ""'Thriller"", ""'"", ']', 'Damien', 'Thorn', '(', 'Sam', 'Neill', ')', 'helped', 'rescue', 'world', 'recession', ',', 'appearing', 'benign', 'corporate', 'benefactor', '.', 'becomes', 'U.S', '.', 'Ambassador', 'England', ',', 'Damien', 'fulfills', 'terrifying', 'biblical', 'prophecy', '.', 'also', 'face', 'potential', 'demise', 'astronomical', 'event', 'brings', 'second', 'coming', 'Christ', '.']"
Airplane!,"['[', ""'Comedy"", ""'"", ']', 'Alcoholic', 'pilot', ',', 'Ted', 'Striker', 'developed', 'fear', 'flying', 'due', 'wartime', 'trauma', ',', 'nevertheless', 'board', 'passenger', 'jet', 'attempt', 'woo', 'back', 'stewardess', 'girlfriend', '.', 'Food', 'poisoning', 'decimates', 'passenger', 'crew', ',', 'leaving', 'Striker', 'land', 'plane', 'help', 'glue-sniffing', 'air', 'traffic', 'controller', 'Striker', ""'s"", 'vengeful', 'former', 'Air', 'Force', 'captain', ',', 'must', 'talk', '.']"
Airplane II: The Sequel,"['[', ""'Comedy"", ""'"", ']', 'faulty', 'computer', 'cause', 'passenger', 'space', 'shuttle', 'head', 'straight', 'sun', ',', 'man-with-a-past', ',', 'Ted', 'Striker', 'must', 'save', 'day', 'get', 'shuttle', 'back', 'track', '–', '–', 'trying', 'patch', 'relationship', 'Elaine', '.']"
An American Werewolf in Paris,"['[', ""'Horror"", ""'"", ',', ""'Comedy"", ""'"", ']', 'American', 'man', 'unwittingly', 'get', 'involved', 'werewolf', 'developed', 'serum', 'allowing', 'transform', '.']"
National Lampoon’s European Vacation,"['[', ""'Adventure"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Romance"", ""'"", ']', 'Griswalds', 'win', 'vacation', 'Europe', 'game', 'show', ',', 'thus', 'pack', 'bag', 'continent', '.', 'best', 'catch', 'flavor', 'Europe', ',', ""n't"", 'know', 'good', 'tourist', '.', 'Besides', ',', 'trouble', 'taking', 'holiday', 'country', 'speak', 'language', '.']"
National Lampoon's Vacation,"['[', ""'Comedy"", ""'"", ',', ""'Adventure"", ""'"", ',', ""'Romance"", ""'"", ']', 'Clark', 'Griswold', 'quest', 'take', 'family', 'quest', 'Walley', 'World', 'theme', 'park', 'vacation', ',', 'thing', ""n't"", 'go', 'exactly', 'planned', '.']"
Funny Farm,"['[', ""'Comedy"", ""'"", ']', 'Chevy', 'Chase', 'star', 'Andy', 'Farmer', ',', 'sportswriter', 'move', 'schoolteacher', 'wife', 'Elizabeth', '(', 'Madolyn', 'Smith', ')', 'country', 'order', 'write', 'novel', 'relative', 'seclusion', '.', 'course', ',', 'seclusion', 'last', 'thing', 'Farmers', 'find', 'small', ',', 'eccentric', 'town', ',', 'disaster', 'awaits', 'every', 'turn', '.']"
Big,"['[', ""'Fantasy"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Romance"", ""'"", ',', ""'Family"", ""'"", ']', 'young', 'boy', ',', 'Josh', 'Baskin', 'make', 'wish', 'carnival', 'machine', 'big', '.', 'wake', 'following', 'morning', 'find', 'granted', 'body', 'grown', 'older', 'overnight', '.', 'still', '13-year-old', 'boy', 'inside', '.', 'must', 'learn', 'cope', 'unfamiliar', 'world', 'grown-ups', 'including', 'getting', 'job', 'first', 'romantic', 'encounter', 'woman', '.', 'find', 'strange', 'world', '?']"
Problem Child,"['[', ""'Comedy"", ""'"", ']', 'Ben', 'Healy', '(', 'John', 'Ritter', ')', 'social', 'climbing', 'wife', 'Flo', 'adopt', 'Junior', 'fun-loving', 'seven', 'year', 'old', '.', 'soon', 'discover', ""'s"", 'little', 'monster', 'turn', 'camping', 'trip', ',', 'birthday', 'party', 'even', 'baseball', 'game', 'comic', 'nightmare', '.', 'really', 'little', 'angel', 'trying', 'get', '?', 'Find', 'hilarious', 'satire', 'modern-day', 'family', 'life', '.']"
Problem Child 2,"['[', ""'Comedy"", ""'"", ']', 'Junior', 'father', ',', 'Ben', ',', 'move', 'Cold', 'River', 'Mortville', '.', 'Junior', 'becomes', 'threatened', 'Ben', ""'s"", 'desire', 'date', 'find', 'new', 'mother', 'Junior', ',', 'sabotage', 'date', '.']"
Little Nemo: Adventures In Slumberland,"['[', ""'Adventure"", ""'"", ',', ""'Animation"", ""'"", ',', ""'Family"", ""'"", ',', ""'Fantasy"", ""'"", ']', 'little', 'boy', 'whose', 'dream', 'transcend', 'reality', 'sucked', 'fantasy', ',', 'everything', 'dreamed', ',', 'unleashes', 'old', 'secret', 'may', 'destroy', 'perfect', 'dream', 'world', 'reality', '.']"
Oscar and Lucinda,"['[', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ']', 'childhood', 'abuse', 'evangelistic', 'father', ',', 'misfit', 'Oscar', 'Hopkins', 'becomes', 'Anglican', 'minister', 'develops', 'divine', 'obsession', 'gambling', '.', 'Lucinda', 'Leplastrier', 'rich', 'Australian', 'heiress', 'shopping', 'London', 'material', 'newly', 'acquired', 'glass', 'factory', 'back', 'home', '.', 'Deciding', 'travel', 'Australia', 'missionary', ',', 'Oscar', 'meet', 'Lucinda', 'aboard', 'ship', ',', 'mutual', 'obsession', 'blossom', '.', 'make', 'wager', 'alter', 'destiny', '.']"
Tequila Sunrise,"['[', ""'Action"", ""'"", ',', ""'Adventure"", ""'"", ',', ""'Crime"", ""'"", ',', ""'Romance"", ""'"", ',', ""'Thriller"", ""'"", ']', 'seaside', 'California', 'town', ',', 'best', 'friend', 'Mac', 'Nick', 'opposite', 'side', 'law', '.', 'Mac', 'former', 'drug', 'dealer', 'trying', 'clean', 'act', ',', 'Nick', 'high-profile', 'detective', 'trying', 'take', 'Mexican', 'drug', 'lord', 'named', 'Carlos', '.', 'Soon', 'Nick', ""'s"", 'loyalty', 'put', 'test', 'begin', 'affair', 'restaurateur', 'Jo', 'Ann', '--', 'love', 'interest', 'Mac', ""'s"", '--', 'unwittingly', 'leading', 'friend', 'police-orchestrated', 'trap', '.']"
The Pelican Brief,"['[', ""'Drama"", ""'"", ',', ""'Mystery"", ""'"", ',', ""'Thriller"", ""'"", ',', ""'Crime"", ""'"", ']', 'Two', 'Supreme', 'Court', 'Justices', 'assassinated', '.', 'One', 'lone', 'law', 'student', 'stumbled', 'upon', 'truth', '.', 'investigative', 'journalist', 'want', 'story', '.', 'Everybody', 'else', 'want', 'dead', '.']"
A Christmas Story,"['[', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ']', 'comic', 'mishap', 'adventure', 'young', 'boy', 'named', 'Ralph', ',', 'trying', 'convince', 'parent', ',', 'teacher', ',', 'Santa', 'Red', 'Ryder', 'B.B', '.', 'gun', 'really', 'perfect', 'Christmas', 'gift', '1940s', '.']"
Mickey Blue Eyes,"['[', ""'Comedy"", ""'"", ',', ""'Crime"", ""'"", ',', ""'Romance"", ""'"", ']', 'English', 'auctioneer', 'proposes', 'daughter', 'mafia', 'kingpin', ',', 'realize', 'certain', '``', 'favor', ""''"", 'would', 'asked', '.']"
Teaching Mrs. Tingle,"['[', ""'Comedy"", ""'"", ',', ""'Thriller"", ""'"", ']', 'Leanne', 'salutatorian', 'need', 'valedictorian', 'get', 'scholarship', 'Harvard', '.', 'class', 'worse', 'leader', 'history', ',', 'taught', 'Mrs.', 'Tingle', ',', 'teacher', 'hate', '.', 'attempt', 'get', 'ahead', 'Mrs.', 'Tingle', ""'s"", 'class', 'go', 'awry', ',', 'mayhem', 'ensues', 'friendship', ',', 'loyalty', 'trust', 'tested', 'teacher', ""'s"", 'intricate', 'mind-games', '.']"
Universal Soldier: The Return,"['[', ""'Action"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ']', 'Luc', 'Deveraux', ',', 'heroic', 'former', 'Universal', 'Soldier', ',', 'thrown', 'action', '.', 'Seth', '(', 'Michael', 'Jai', 'White', ')', ',', 'supercomputer', 'controlled', 'ultra-warrior', ',', 'decides', 'take', 'revenge', 'destroy', 'creator', ',', 'Luc', 'stop', '.', 'hell', 'break', 'loose', 'Luc', 'battle', 'Seth', 'deadly', 'team', 'perfect', 'soldier', 'struggle', 'pit', 'man', 'machine', 'good', 'evil', '.']"
Universal Soldier,"['[', ""'Thriller"", ""'"", ',', ""'Action"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ',', ""'Crime"", ""'"", ']', 'American', 'soldier', 'killed', 'Vietnam', 'War', 'revived', '25', 'year', 'later', 'military', 'semi-android', ',', 'UniSols', ',', 'high-tech', 'soldier', 'future', '.', 'failure', 'initiative', 'erase', 'soldier', ""'s"", 'memory', ',', 'begin', 'experience', 'flashback', 'forcing', 'recall', 'past', '.']"
Love Stinks,"['[', ""'Comedy"", ""'"", ',', ""'Romance"", ""'"", ']', 'movie', 'relationship', '...', ""'s"", 'worse', '.', 'Seth', '(', 'Stewart', ')', ',', 'sitcom', 'writer-producer', ',', 'meet', 'Chelsea', '(', 'Wilson', ')', ',', 'interior', 'decorator', ',', 'best', 'friend', ""'s"", '(', 'Bellamy', ')', 'wedding', '.', ""'s"", 'immediately', 'sexually', 'attracted', ""'s"", 'instantly', 'attracted', 'single-ness', '.', 'ditch', 'wedding', 'date', 'start', 'date', 'night', '.', 'two', 'become', 'couple', ',', 'appearing', 'happy', 'couple', 'year', 'postponing', 'marriage', 'proposal', '.', 'Chelsea', 'realizes', 'Seth', 'want', 'remain', 'single', 'together', ',', 'becomes', 'quite', 'bitter', '.', 'next', 'hour', 'movie', ',', 'two', 'engage', 'behavior', 'make', 'War', 'Roses', 'look', 'like', 'child', ""'s"", 'play', '.']"
Perfect Blue,"['[', ""'Animation"", ""'"", ',', ""'Thriller"", ""'"", ']', 'Mima', 'Kirigoe', 'singer', 'leaf', 'trio', 'become', 'actress', ',', 'career', 'move', 'anger', 'fan', ',', 'prefer', 'see', 'pop', 'idol', '.', 'Plagued', 'self-doubt', 'tormented', 'humiliating', 'compromise', ',', 'begin', 'stalked', ',', 'waking', 'sleeping', 'moment', ',', 'alter', 'ego', 'claim', '``', 'real', 'Mima', ""''"", ',', 'collapse', 'madness', 'coworkers', 'brutally', 'slain', 'around', '.']"
With Friends Like These...,"['[', ""'Horror"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ']', 'Four', 'small-time', 'two-bit', 'character', 'actor', ',', 'close', 'friend', ',', 'competing', 'important', 'part', 'next', 'Martin', 'Scorsese', 'mob', 'film', '.']"
In Too Deep,"['[', ""'Drama"", ""'"", ',', ""'Action"", ""'"", ',', ""'Thriller"", ""'"", ',', ""'Crime"", ""'"", ']', 'fearless', 'cop', 'taking', 'ruthless', 'crimelord', '.', 'knew', 'risk', '.', ""n't"", 'know', 'far', 'would', 'go', '.']"
The Source,"['[', ""'Documentary"", ""'"", ',', ""'Foreign"", ""'"", ']', 'Traces', 'Beats', 'Allen', 'Ginsberg', 'Jack', 'Kerouac', ""'s"", 'meeting', '1944', 'Columbia', 'University', 'death', 'Ginsberg', 'William', 'S.', 'Burroughs', '1997', '.', 'Three', 'actor', 'provide', 'dramatic', 'interpretation', 'work', 'three', 'writer', ',', 'film', 'chronicle', 'friendship', ',', 'arrival', 'American', 'consciousness', ',', 'travel', ',', 'frequent', 'parody', ',', 'Kerouac', ""'s"", 'death', ',', 'Ginsberg', ""'s"", 'politicization', '.', 'movement', 'connects', 'bebop', ',', 'John', 'Cage', ""'s"", 'music', ',', 'abstract', 'expressionism', ',', 'living', 'theater', '.', 'recent', 'interview', ',', 'Ginsberg', ',', 'Burroughs', ',', 'Kesey', ',', 'Ferlinghetti', ',', 'Mailer', ',', 'Jerry', 'Garcia', ',', 'Tom', 'Hayden', ',', 'Gary', 'Snyder', ',', 'Ed', 'Sanders', ',', 'others', 'measure', 'Beats', ""'"", 'meaning', 'impact', '.']"
The Bat,"['[', ""'Horror"", ""'"", ',', ""'Mystery"", ""'"", ',', ""'Thriller"", ""'"", ']', 'Mystery', 'writer', 'Cornelia', 'Van', 'Gorder', 'rented', 'country', 'house', 'called', '``', 'Oaks', ""''"", ',', 'long', 'ago', 'scene', 'murder', 'committed', 'strange', 'violent', 'criminal', 'known', '``', 'Bat', ""''"", '.Meanwhile', ',', 'house', ""'s"", 'owner', ',', 'bank', 'president', 'John', 'Fleming', ',', 'recently', 'embezzled', 'one', 'million', 'dollar', 'security', ',', 'hidden', 'proceeds', 'house', ',', 'killed', 'retrieve', '.']"
Iron Eagle,"['[', ""'Action"", ""'"", ',', ""'Thriller"", ""'"", ',', ""'War"", ""'"", ']', 'Doug', ""'s"", 'father', ',', 'Air', 'Force', 'Pilot', ',', 'shot', 'MiGs', 'belonging', 'radical', 'Middle', 'Eastern', 'state', ',', 'one', 'seems', 'able', 'get', '.', 'Doug', 'find', 'Chappy', ',', 'Air', 'Force', 'Colonel', 'intrigued', 'idea', 'sending', 'two', 'fighter', 'piloted', 'Doug', 'rescue', 'Doug', ""'s"", 'father', 'bombing', 'MiG', 'base', '.']"
Iron Eagle II,"['[', ""'Action"", ""'"", ',', ""'Adventure"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Thriller"", ""'"", ']', 'Chappy', 'Sinclair', 'called', 'gather', 'together', 'mixed', 'Soviet/U.S', '.', 'strike', 'force', 'perform', 'surgical', 'strike', 'massively', 'defended', 'nuclear', 'missile', 'site', 'Middle', 'East', '.', 'Chappy', 'find', 'getting', 'Soviet', 'U.S.', 'Pilots', 'cooperate', 'minor', 'problem', 'discovers', 'someone', 'Pentagon', 'actively', 'sabotaging', 'mission', '.']"
Iron Eagle III,"['[', ""'Action"", ""'"", ',', ""'Thriller"", ""'"", ']', 'Chappy', 'discovers', 'drug-smuggling', 'scheme', 'air', 'base', '.', 'turn', 'life', 'village', 'people', 'Peru', 'stake', ',', 'decides', 'fly', 'ancient', 'airplane', 'friend', 'free', '.']"
Iron Eagle IV,"['[', ""'Action"", ""'"", ',', ""'Adventure"", ""'"", ']', 'Chappy', 'Sinclair', 'saddled', 'bunch', 'misfit', 'delinquent', 'flight', 'school', ',', 'turn', 'protégé', 'Doug', 'Masters', 'assist', 'rounding', 'shape', 'important', 'competition', '.', 'training', ',', 'stumble', 'upon', 'group', 'subversive', 'air', 'force', 'officer', 'dealing', 'toxic', 'waste', 'sideline', '.']"
Three Days of the Condor,"['[', ""'Action"", ""'"", ',', ""'Thriller"", ""'"", ',', ""'Mystery"", ""'"", ']', 'bookish', 'CIA', 'researcher', 'find', 'co-worker', 'dead', ',', 'must', 'outwit', 'responsible', 'figure', 'really', 'trust', '.']"
Hamlet from the Lunt-Fontanne Theatre,"['[', ']', 'stage', 'production', 'Hamlet', 'filmed', 'Lunt-Fontanne', 'Theatre', 'New', 'York', '.']"
Male and Female,"['[', ""'Adventure"", ""'"", ',', ""'Drama"", ""'"", ']', 'Gloria', 'Swanson', 'play', 'spoiled', 'maiden', 'always', 'get', 'way', 'shipwrecked', 'butler', ',', 'learns', 'quality', 'really', 'admirable', 'person', '.']"
Medicine Man,"['[', ""'Adventure"", ""'"", ']', 'eccentric', 'scientist', 'working', 'large', 'drug', 'company', 'working', 'research', 'project', 'Amazon', 'jungle', '.', 'sends', 'research', 'assistant', 'gas', 'chromatograph', ""'s"", 'close', 'cure', 'cancer', '.', 'assistant', 'turn', '``', 'mere', 'woman', ',', ""''"", 'reject', 'help', '.', 'Meanwhile', 'bulldozer', 'get', 'closer', 'area', 'conducting', 'research', ',', 'eventually', 'learn', 'work', 'together', ',', 'begin', 'falling', 'love', '.']"
The Spiders - The Golden Sea,"['[', ""'Adventure"", ""'"", ']', 'San', 'Francisco', ',', 'well-known', 'sportsman', 'Kay', 'Hoog', 'announces', 'club', 'found', 'message', 'bottle', 'map', 'drawn', 'Harvard', 'professor', 'gone', 'missing', '.', 'map', 'tell', 'lost', 'Incan', 'civilization', 'posse', 'immense', 'treasure', '.', 'Hoog', 'immediately', 'plan', 'expedition', 'find', '.', 'Lio', 'Sha', ',', 'head', 'criminal', 'organization', 'known', 'Spiders', ',', 'determined', 'get', 'treasure', 'plan', 'rival', 'expedition', '.']"
On the Ropes,"['[', ']', 'story', 'three', 'young', 'boxer', 'coach', 'determined', 'guide', 'positive', 'direction', 'ring', '.']"
Rosie,"['[', ']', 'juvenile', 'lockup', ',', 'new', 'ward', 'answer', 'question', ':', ""'s"", 'Rosie', ',', '13', ',', 'parent', ',', 'sister', 'Irene', ',', 'brother', 'Michel', '.', 'flashback', 'find', 'happened', '.', 'life', 'Irene', ',', ""'s"", '27', ',', 'Rosie', 'know', 'fact', 'mother', ',', ""'s"", 'secret', '.', 'Irene', ""'s"", 'brother', 'Michel', ',', 'unemployed', ',', 'compulsive', 'gambler', ',', 'come', 'stay', '.', 'Around', ',', 'Irene', 'meet', 'Bernard', ';', 'come', 'care', '.', 'leaf', 'Rosie', 'without', 'attention', ',', 'put', 'adolescent', 'hope', 'romantic', 'fantasy', 'relationship', 'Jimi', ',', 'good', 'looking', 'kid', 'see', 'bus', '.', 'adventure', 'Jimi', 'land', 'juvie', '?', ""'s"", ',', ""n't"", 'answer', 'letter', '?']"
The 13th Warrior,"['[', ""'Adventure"", ""'"", ',', ""'Fantasy"", ""'"", ',', ""'Action"", ""'"", ']', 'AD', '922', ',', 'Arab', 'courtier', ',', 'Ahmad', 'Ibn', 'Fadlan', 'accompanies', 'party', 'Vikings', 'barbaric', 'North', 'combat', 'terror', 'slaughter', 'Vikings', 'devours', 'flesh', '.']"
The Astronaut's Wife,"['[', ""'Drama"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ',', ""'Thriller"", ""'"", ']', 'astronaut', 'Spencer', 'Armacost', 'return', 'Earth', 'mission', 'nearly', 'cost', 'life', ',', 'decides', 'take', 'desk', 'job', 'order', 'see', 'beautiful', 'wife', ',', 'Jillian', ',', 'often', '.', 'Gradually', ',', 'Jillian', 'notice', 'Spencer', ""'s"", 'personality', 'seems', 'changed', ',', 'concern', 'fade', 'discovers', ""'s"", 'pregnant', '.', 'Jillian', 'grows', 'closer', 'becoming', 'mother', ',', 'suspicion', 'Spencer', 'return', '.', 'seem', ""'s"", 'different', 'person', '?']"
Dudley Do-Right,"['[', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ',', ""'Romance"", ""'"", ']', 'Based', ""60's-era"", 'cartoon', 'name', '.', 'Royal', 'Canadian', 'Mountie', 'Dudley', 'Do-right', 'busy', 'keeping', 'peace', 'small', 'mountain', 'town', 'old', 'rival', ',', 'Snidely', 'Whiplash', ',', 'come', 'plot', 'buy', 'property', 'town', ',', 'start', 'phony', 'gold', 'rush', 'seeding', 'river', 'gold', 'nugget', '.', 'well-meaning', '(', 'though', 'completely', 'incompetent', ')', 'Mountie', 'stop', 'Whiplash', ""'s"", 'evil', 'plan', '?']"
The Muse,"['[', ""'Fantasy"", ""'"", ',', ""'Comedy"", ""'"", ']', 'happens', 'screenwriter', '(', 'Brooks', ')', 'loses', 'edge', ',', 'turn', 'anyone', 'help', '...', 'even', ""'s"", 'mythical', '``', 'Zeus', ""'s"", 'Daughter', ""''"", '(', 'Stone', ')', '.', ""'s"", 'willing', 'pay', ',', 'albeit', 'reluctantly', ',', 'whatever', 'price', 'take', 'satisfy', 'goddess', ',', 'especially', 'advice', 'get', 'going', 'sure-fire', 'script', '.', 'However', ',', 'limit', 'help', ',', 'also', 'get', 'writer', ""'s"", 'wife', '(', 'MacDowell', ')', 'going', 'bakery', 'enterprise', ',', 'much', 'chagrin', 'Brooks', ',', 'already', 'make', 'many', 'personal', 'sacrifice', 'help', '.']"
Cabaret Balkan,"['[', ""'Drama"", ""'"", ']', 'film', 'take', 'place', 'Belgrade', 'mid', 'ninety', 'twentieth', 'century', ',', 'brutality', 'violence', 'becoming', 'part', 'everyday', 'reality', '.', 'series', 'separate', 'story', 'linked', 'inheritance', 'situation', '.', 'painful', 'atmosphere', 'increasing', 'brutality', 'see', 'output', 'main', 'motiv', 'repeated', 'question', 'accountability', ':', '``', 'guilty', '?', ""''""]"
A Dog Of Flanders,"['[', ""'Drama"", ""'"", ',', ""'Family"", ""'"", ']', 'Poor', 'happy', ',', 'young', 'Nello', 'grandfather', 'live', 'alone', ',', 'delivering', 'milk', 'livelihood', ',', 'outskirt', 'Antwerp', ',', 'city', 'Flanders', '(', 'Flemish', 'Dutch-speaking', 'part', 'modern-day', 'Belgium', ')', '.', 'discover', 'beaten', 'dog', '(', 'Bouvier', ',', 'large', 'sturdy', 'dog', 'native', 'Flanders', ')', 'adopt', 'nurse', 'back', 'health', ',', 'naming', 'Patrasche', ',', 'middle', 'name', 'Nello', ""'s"", 'mother', 'Mary', ',', 'died', 'Nello', 'young', '.', 'Nello', ""'s"", 'mother', 'talented', 'artist', ',', 'like', 'mother', ',', 'delight', 'drawing', ',', 'friend', 'Aloise', 'model', 'greatest', 'fan', 'supporter', '.']"
The Lost Son,"['[', ""'Mystery"", ""'"", ',', ""'Thriller"", ""'"", ']', 'Xavier', 'Lombard', 'world-weary', 'private', 'eye', 'London', ',', 'exile', 'native', 'Paris', ';', 'best', 'friend', 'Nathalie', ',', 'high-class', 'call', 'girl', '.', 'get', 'call', 'old', 'friend', 'Paris', 'police', 'department', ',', 'businessman', 'whose', 'brother-in-law', 'missing', '.', 'missing', 'man', ""'s"", 'parent', 'hire', 'Xavier', 'daughter', ""'s"", 'objection', ',', 'quickly', 'find', 'realm', 'child', ""'s"", 'sexual', 'slavery', '.']"
Lucie Aubrac,"['[', ""'Drama"", ""'"", ']', 'love', 'story', 'tale', 'resistance', ',', 'poignant', 'movie', 'tell', 'haunting', 'story', 'French', 'resistance', 'cell', 'Lyon', 'also', 'love', 'Lucie', 'Aubrac', 'husband', '...']"
